ID, Latitude, Longitude, Name
41.4943704,22.0915153,5667327121,Bovin Winery
41.9940075,21.4394921,5901737585,Tikves
41.9950477,21.4272901,5901752486,Kamnik
41.9956025,21.4310531,5901753385,Skovin
41.7378970,22.1940439,6348087929,: node
41.1848848,20.8771330,9870303417,monastery winery
